campaign_id,brand_name,product_category,start_date,end_date,budget,influencer_spend,target_audience,campaign_objective,expected_roas,num_influencers,campaign_status
CAMP_0001,WanderLux,fashion,2023-11-04,2023-12-02,8278,3773,gen_z,engagement,6.44,11,completed
CAMP_0002,GlowSkin,fitness,2023-10-14,2023-11-10,9165,4519,gen_z,engagement,3.19,13,paused
CAMP_0003,ActiveEdge,travel,2023-09-14,2023-09-28,33893,23845,millennial,engagement,4.54,7,completed
CAMP_0004,FitFuel,fitness,2023-04-25,2023-06-02,49118,21547,gen_x,engagement,3.59,3,paused
CAMP_0005,PureGlow,fitness,2023-08-18,2023-10-06,21361,11049,gen_x,engagement,3.15,4,completed
CAMP_0006,FitFuel,fashion,2023-11-08,2023-11-28,42930,23700,mixed,engagement,7.0,5,active
CAMP_0007,WanderLux,fitness,2023-06-07,2023-07-29,92841,60717,millennial,awareness,4.77,7,paused
CAMP_0008,HomeNest,beauty,2023-12-18,2024-01-15,33785,24620,gen_x,conversion,3.61,6,paused
CAMP_0009,ActiveEdge,food,2023-12-11,2024-02-04,32869,19180,gen_x,awareness,3.48,11,paused
CAMP_0010,PureGlow,food,2023-05-24,2023-06-30,81622,39809,millennial,engagement,4.96,15,completed
CAMP_0011,TechNova,food,2023-02-05,2023-03-29,87240,37113,mixed,engagement,7.98,11,active
CAMP_0012,FitFuel,travel,2023-09-28,2023-11-22,6504,3487,gen_x,conversion,2.95,3,paused
CAMP_0013,TechNova,fitness,2023-12-09,2024-02-01,70612,36674,millennial,awareness,4.24,5,paused
CAMP_0014,HomeNest,gaming,2023-09-01,2023-09-16,83504,37138,gen_x,conversion,3.44,6,paused
CAMP_0015,FitFuel,tech,2023-02-03,2023-02-25,68699,45609,millennial,conversion,5.17,12,active
CAMP_0016,StyleHub,travel,2023-04-18,2023-05-27,95422,76152,gen_x,conversion,7.4,10,completed
CAMP_0017,HomeNest,beauty,2023-04-08,2023-05-29,13392,8324,millennial,awareness,2.43,13,completed
CAMP_0018,HomeNest,fitness,2023-04-03,2023-05-19,9117,4515,mixed,awareness,5.24,14,paused
